7.62e-02, 1.91e-01, 2.32e-09, 2.39e-09, 2.44e-09, 2.50e-09, 2.65e-09, 2.97e-09, 3.27e-09, 3.14e-09, 2.62e-09, 2.14e-09, 1.85e-09, 1.66e-09, 1.51e-09, 1.37e-09, 1.23e-09, 1.11e-09, 9.90e-10, 9.06e-10, 8.91e-10
6.89e-02, 1.78e-01, 2.48e-09, 2.55e-09, 2.61e-09, 2.68e-09, 2.85e-09, 3.19e-09, 3.53e-09, 3.40e-09, 2.82e-09, 2.29e-09, 1.98e-09, 1.77e-09, 1.61e-09, 1.46e-09, 1.31e-09, 1.17e-09, 1.04e-09, 9.52e-10, 9.35e-10
6.24e-02, 1.65e-01, 2.62e-09, 2.71e-09, 2.77e-09, 2.85e-09, 3.03e-09, 3.41e-09, 3.78e-09, 3.63e-09, 3.00e-09, 2.44e-09, 2.09e-09, 1.88e-09, 1.70e-09, 1.53e-09, 1.38e-09, 1.22e-09, 1.09e-09, 9.93e-10, 9.76e-10
5.66e-02, 1.53e-01, 2.76e-09, 2.85e-09, 2.92e-09, 3.00e-09, 3.20e-09, 3.61e-09, 4.02e-09, 3.86e-09, 3.18e-09, 2.57e-09, 2.20e-09, 1.97e-09, 1.78e-09, 1.61e-09, 1.44e-09, 1.28e-09, 1.13e-09, 1.03e-09, 1.01e-09
5.14e-02, 1.42e-01, 2.88e-09, 2.98e-09, 3.05e-09, 3.14e-09, 3.36e-09, 3.79e-09, 4.23e-09, 4.06e-09, 3.34e-09, 2.69e-09, 2.30e-09, 2.06e-09, 1.86e-09, 1.67e-09, 1.49e-09, 1.32e-09, 1.17e-09, 1.06e-09, 1.04e-09
4.67e-02, 1.32e-01, 2.98e-09, 3.09e-09, 3.17e-09, 3.27e-09, 3.50e-09, 3.96e-09, 4.42e-09, 4.24e-09, 3.48e-09, 2.80e-09, 2.39e-09, 2.13e-09, 1.92e-09, 1.73e-09, 1.54e-09, 1.36e-09, 1.20e-09, 1.09e-09, 1.07e-09
4.25e-02, 1.22e-01, 3.07e-09, 3.19e-09, 3.27e-09, 3.38e-09, 3.62e-09, 4.10e-09, 4.59e-09, 4.41e-09, 3.61e-09, 2.90e-09, 2.47e-09, 2.20e-09, 1.98e-09, 1.77e-09, 1.58e-09, 1.39e-09, 1.23e-09, 1.11e-09, 1.09e-09
3.87e-02, 1.13e-01, 3.15e-09, 3.27e-09, 3.36e-09, 3.47e-09, 3.72e-09, 4.23e-09, 4.74e-09, 4.55e-09, 3.72e-09, 2.98e-09, 2.53e-09, 2.25e-09, 2.03e-09, 1.81e-09, 1.61e-09, 1.42e-09, 1.25e-09, 1.13e-09, 1.11e-09
3.53e-02, 1.05e-01, 3.21e-09, 3.34e-09, 3.43e-09, 3.55e-09, 3.81e-09, 4.34e-09, 4.87e-09, 4.68e-09, 3.81e-09, 3.05e-09, 2.59e-09, 2.30e-09, 2.06e-09, 1.85e-09, 1.64e-09, 1.44e-09, 1.26e-09, 1.14e-09, 1.12e-09
3.22e-02, 9.71e-02, 3.26e-09, 3.39e-09, 3.49e-09, 3.61e-09, 3.88e-09, 4.43e-09, 4.98e-09, 4.78e-09, 3.89e-09, 3.10e-09, 2.63e-09, 2.33e-09, 2.09e-09, 1.87e-09, 1.66e-09, 1.45e-09, 1.28e-09, 1.15e-09, 1.13e-09
2.94e-02, 8.99e-02, 3.30e-09, 3.43e-09, 3.54e-09, 3.66e-09, 3.94e-09, 4.50e-09, 5.07e-09, 4.86e-09, 3.95e-09, 3.14e-09, 2.66e-09, 2.36e-09, 2.12e-09, 1.89e-09, 1.67e-09, 1.46e-09, 1.28e-09, 1.15e-09, 1.13e-09
2.69e-02, 8.32e-02, 3.33e-09, 3.46e-09, 3.57e-09, 3.70e-09, 3.98e-09, 4.56e-09, 5.14e-09, 4.93e-09, 4.00e-09, 3.17e-09, 2.69e-09, 2.38e-09, 2.13e-09, 1.90e-09, 1.68e-09, 1.47e-09, 1.28e-09, 1.15e-09, 1.13e-09
